1968-0001,North-East Andapa
1968-0001, South-West Tulear
1969-0050,Nosy Varika
1970-0017,Central
1970-0017, South
1972-0022,Central
1975-0013,South (1)
1975-0013, Tamatave (2)
1976-0019,North
1977-0042,
1978-0145,Tulear province
1981-0110,Countrywide (mainly Antananarivo)
1982-0147,Sambava
1982-0147, Antalaha
1982-0147, Tulear
1982-0147, Morondova
1982-0147, Miandrivazo
1982-0147, Morombe
1983-0157,Countrywide
1984-0034,North
1986-0042,Toamasina
1986-0042, Fenerive east
1986-0042, Sante Marie
1986-0042, Ambatondrazaka
1986-0042, Brickaville
1986-0042, Moramanga
1986-0042, Fianarantsoa
1989-0122,Mahajanga
1989-0122, Sainte Marie
1989-0122, Nosy-Varika
1989-0122, Fianarantsoa
1989-0122, Ihosy
1989-0122, Manajary
1989-0122, Manakara
1991-0344,Mahajanga
1991-0344, Toliary provinces
1994-0009,(1) Vatomandry
1994-0009, Anosibe
1994-0009, An'Ala
1994-0009, Fandriana
1994-0009, Ambatofinandrahana
1994-0009, Beroroha
1994-0009, Ankazoabo
1994-0009, Toliara II
1994-0009, Ampaniy
1994-0009, Beloha
1994-0009, (2) Toamisina
1994-0009, Brickaville
1994-0009, Moramanga
1994-0009, Fenoarivo Be
1994-0009, Tsiroanomandity
1994-0009, Miandrivazo
1994-0009, Belo
1994-0009, Tsiribinina
1994-0036,Vohemar
1994-0036, Ambiloe
1994-0036, Ambanja Provinces
1994-0037,Brickaville
1994-0037, Tamatave
1994-0037, Nosy Varika
1994-0037, Mananjary
1994-0037, Vatomandry
1996-0060,Fenerive
1996-0060, Foulpointe
1997-0013,Vangaidrano
1997-0013, Vohipeno
1997-0013, Farangana
1997-0013, Vondrozo
1997-0013, Midongy
1997-0013, Befotaka
1997-0020,Antalaha
1997-0020, Andapa
1997-0020, Maroantsetra
2000-0107,Marolambo
2000-0107, Antanambao
2000-0107, Manampotsy
2000-0107, Mahanoro
2000-0107, Vatomandry
2000-0107, Ambositra
2000-0107, Brickaville
2000-0107, Antananarivo
2000-0107, Avaradrano
2000-0107, Ambatolampy
2000-0107, AntsirabeII
2000-0107, Andramasina
2000-0107, Manjakandriana
2000-0107, Antanifotsy
2000-0107, Antalaha
2000-0107, Sambava
2000-0107, Andapa
2000-0107, Vohemar
2000-0107, Morondava
2000-0107, Belo
2000-0107, Mahabo
2000-0107, Morombe
2000-0107, Maroantsetra
2000-0178,Antalaha
2000-0178, Sambava
2000-0178, Maroansetra
2000-0178, Andapa
2000-0178, Bealanana
2000-0178, Antalalava
2002-0004,Morombe
2002-0004, Morondava
2002-0004, Toliara
2002-0146,Antalaha
2002-0146, Sainte-Marie Isl.
2002-0146, Toamasina
2002-0281,Antsiranana II
2002-0281, Ambilobe
2002-0281, Nosy Be
2002-0281, Vohemar districts (Antsiranana province)
2002-0281, Fenerive Est
2002-0281, Maroantsetra
2002-0281, Toamisina districts (Toamasina province)
2003-0065,East coast
2003-0218,Vatomandry
2003-0218, Andevoranto districts (Toamasina province)
2003-0602,Antalaha
2003-0602, Ambanja (North East)
2004-0029,Antananarivo
2004-0029, Majuanga
2004-0029, Fianarantsoa
2004-0029, Tamatave
2004-0029, Tulear
2004-0029, 
2005-0048,Tsihombe
2005-0048, Ambovombe
2005-0048, Tulear
2006-0089,Androka
2006-0089, Itampolo communes (South-West)
2006-0687,Mahajanga
2006-0687, Antalaha
2007-0032,Mananjary
2007-0032, Nosy-Varika
2007-0095,Diana
2007-0095, Sava
2007-0095, Sofia
2007-0095, Analajirofo
2007-0095, Antalaha
2007-0095, Ambanitelo
2007-0095, Andranofosty
2007-0095, Anfofa
2007-0095, Anlanazan
2007-0095, Antakotako
2007-0136,Sambava district
2008-0043,Melaky
2008-0043, Boeny
2008-0043, Analamnagregions
2008-0070,Fenoarivo Atsinanana
2008-0070, Alaotra Mangoro
2008-0070, Sainte Marie
2008-0070, Toamasine
2008-0070, Soanierana Ivago
2008-0070, Fouplointe
2008-0070, Nosy Varika
2008-0070, Andalimena
2008-0070, Mahajanga
2008-0070, Moramanga
2008-0070, Ambatondrazaka
2008-0070, Amparafaravola
2008-0070, Midongy du Sud
2008-0070, Mahajanga
2008-0070, Maravpay
2008-0070, Ambato Boeny
2008-0070, Port Berge
2008-0070, Mampikony
2008-0070, Beelanana
2008-0070, Mandrotsara
2008-0070, Mahabo
2008-0070, Mandrivazo
2008-0070, Tana Atsimondrano
2008-0070, Tana Avaradrano
2008-0070, Ambohidratrimo
2008-0070, Antanarivo - Analanjirofo
2008-0070, Vatovavy-Fitovavy
2008-0070, Alaotra Mangoro
2008-0070, Atsinanana
2008-0070, South East
2008-0070, Haute Matsiatra
2008-0070, Boeny
2008-0070, Sofia
2008-0070, Menabe
2008-0070, Bongolova
2008-0070, Analamanaga
2008-0070, Betsiboka districts
2008-0111,Nosy Be 
2009-0047,Sofia
2009-0047, Sava
2009-0047, Atsinanana
2009-0047, Analanjirofo
2009-0047, Fenoarivo Atsinanana
2009-0047, Sainte-Marie
2009-0047, Vavatenina
2009-0047, Ambositra
2009-0047, Toaamsina
2009-0047, Antsohihy
2009-0047, Mampikony
2009-0047, Mandritsara
2009-0047, Morondova
2009-0047, Menabe
2009-0123,South-West
2010-0104,Ikongo
2010-0104, Faniria communes (Ikongo district); Mananjary
2010-0104, Tsiatosika communes (Mananjary district); Ambila
2010-0104, Marofaria
2010-0104, Sahasinaka
2010-0104, Fenomby
2010-0104, Tataho
2010-0104, Lokomby
2010-0104, Ivatana communes (Manakara district); Farafangana
2010-0104, Itrotroke
2010-0104, Ambohigogo communes (Farafangana district); Nosy Varija
2010-0104, Ambahy
2010-0104, Andara
2010-0104, Vohitrandriana communes (Nosy Varika district)
2010-0104, Urbaine
2010-0104, Sub-urbaine
2010-0104, Antsangasanga
2010-0104, Ampito Atsim communes (Ambatondrazaka district); Vohipeno
2010-0104, Andeamaka
2010-0104, Mahabo
2010-0104, Vohitsidry
2010-0104, Vohilany
2010-0104, Onjatsy
2010-0104, Vohindava
2010-0104, Savana communes (Vohipeno district); Vangaiondrano district; Ifaniana district
2011-0057,Fenoarivo
2011-0057, Maroantsetra
2011-0057, Sainte Marie
2011-0057, Vavatenina
2011-0057, Mananara
2011-0057, Soanierana Ivongo (Analanjirofo district); Vohipeno
2011-0057, Mananjary (Vatovavy Fitovinany district); Vatomandry (Atsinanana district); Modongy ATM
2011-0057, Farafangana
2011-0057, Vangaindrano
2011-0057, Vondrozo
2011-0057, Befotaka (Atsimo Atsinanana district); Mahajangaii
2011-0057, Amabto Boeni
2011-0057, Soalala (Boeny district); Boriziny
2011-0057, Mampikony
2011-0057, Befandriana North
2011-0057, Mandritsara (Sofia district); Iokora (Ihorombe district); Miandrivazo
2011-0057, Manja (Menabe district); Sambava
2011-0057, Antalaha (Sava district); Ambohidratrimo (Analmanga district); Morafenobe
2011-0057, Maintirano (Melaky distric); Sambava
2011-0057, Antalaha (Sava district); Amboasary Atsimo
2011-0057, Betroka
2011-0057, Taolanaro (Anosy district); Ambovombe
2011-0057, Bekily
2011-0057, Tsihombe (Androy district)
2012-0005,Western coast
2012-0043,Brickaville
2012-0043, Moramanga
2012-0043, Antananarivo
2012-0043, Vatomandry
2012-0043, Mampikony
2012-0056,Kelilalina (Ifanadiana distrcit
2012-0056, Northern regions)
2013-0026,Eastern coast
2013-0032,Morombe
2013-0032, Toliary
2013-0032, Sakaraha
2013-0032, Menabe
2013-0032, Analamga
2014-0092,
2015-0016,Ambatondrazaka district (Alaotra Mangoro); Ambatofinandrahana district (Amoron'i Mania;) Ambohidratimo
2015-0016, Andramasina
2015-0016, Ankazobe
2015-0016, Antananarivo Avaradrano
2015-0016, Atsimondrano
2015-0016, Tana I
2015-0016, Tana II
2015-0016, Tana III
2015-0016, Tana IV
2015-0016, Tana V; Tana VI  districts (Analamanga); Maevantanana district (Betsiboka); Ambato Boeny
2015-0016, Mahanja II districts (Boeny); Tsiroanimandidy district (Bongolova); Ambanja district (Diana); Ambalavao
2015-0016, Ambohimahasoa
2015-0016, Fianarantsoa
2015-0016, Ivohibato
2015-0016, Lalangina districts (Haute Matsiatra); Soavindriana distrcit (Itasy); Besalampy district (Melaky); Belo Sur tsiribihina
2015-0016, Mahabo
2015-0016, Miandrivazo
2015-0016, Morondova districts (Menabe); Mampikony district (Sofia); Faraganga
2015-0016, Vangaindrano
2015-0016, Vondrozo districts (Sud-Est); Antanifotsy distrcit (Vakinankaratra); Ikongo
2015-0016, Manakara
2015-0016, Mananjary
2015-0016, Nosy Varika
2015-0016, Vohipeno districts (Vatovavy Fitovianny)
